Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(5, 1, 15);Leningrad Codex;95;ואקח את ראשי שבטיכם אנשים חכמים וידעים ואתן אתם ראשים עליכם שרי אלפים ושרי מאות ושרי חמשים ושרי עשרת ושטרים לשבטיכם;95;כתיב ואו חסר
(5, 1, 15);Koren Codex;96;ואקח את ראשי שבטיכם אנשים חכמים וידעים ואתן אותם ראשים עליכם שרי אלפים ושרי מאות ושרי חמשים ושרי עשרת ושטרים לשבטיכם;96;כתיב ואו מלא
(5, 2, 23);Leningrad Codex;56;והעוים הישבים בחצרים עד עזה כפתרים היצאים מכפתור השמידם וישבו תחתם;151;כתיב ואו מלא
(5, 2, 23);Koren Codex;55;והעוים הישבים בחצרים עד עזה כפתרים היצאים מכפתר השמידם וישבו תחתם;151;כתיב ואו חסר
(5, 3, 5);Leningrad Codex;51;כל אלה ערים בצרות חומה גבהה דלתים ובריח לבד מערי הפרזי הרבה מאד;202;כתיב ואו מלא
(5, 3, 5);Koren Codex;50;כל אלה ערים בצרת חומה גבהה דלתים ובריח לבד מערי הפרזי הרבה מאד;201;כתיב ואו חסר
(5, 3, 25);Leningrad Codex;52;אעברה נא ואראה את הארץ הטובה אשר בעבר הירדן ההר הטוב הזה והלבנון;254;כתיב ואו מלא
(5, 3, 25);Koren Codex;51;אעברה נא ואראה את הארץ הטובה אשר בעבר הירדן ההר הטוב הזה והלבנן;252;כתיב ואו חסר
(5, 4, 3);Leningrad Codex;75;עיניכם הראת את אשר עשה יהוה בבעל פעור כי כל האיש אשר הלך אחרי בעל פעור השמידו יהוה אלהיך מקרבך;329;כתיב ואו חסר
(5, 4, 3);Koren Codex;76;עיניכם הראות את אשר עשה יהוה בבעל פעור כי כל האיש אשר הלך אחרי בעל פעור השמידו יהוה אלהיך מקרבך;328;כתיב ואו מלא
(5, 4, 42);Leningrad Codex;72;לנס שמה רוצח אשר ירצח את רעהו בבלי דעת והוא לא שנא לו מתמול שלשום ונס אל אחת מן הערים האל וחי;401;יש שתיים: כתיב ואו מלא וכתיב ואו מלא
(5, 4, 42);Koren Codex;70;לנס שמה רוצח אשר ירצח את רעהו בבלי דעת והוא לא שנא לו מתמל שלשם ונס אל אחת מן הערים האל וחי;398;יש שתיים: כתיב ואו חסר וכתיב ואו חסר
(5, 6, 9);Leningrad Codex;24;וכתבתם על מזוזת ביתך ובשעריך;425;יש שתיים: כתיב ואו מלא וכתיב ואו חסר
(5, 6, 9);Koren Codex;24;וכתבתם על מזזות ביתך ובשעריך;422;יש שתיים: כתיב ואו חסר וכתיב ואו מלא
(5, 6, 21);Leningrad Codex;55;ואמרת לבנך עבדים היינו לפרעה במצרים ויוציאנו יהוה ממצרים ביד חזקה;480;כתיב ואו מלא
(5, 6, 21);Koren Codex;54;ואמרת לבנך עבדים היינו לפרעה במצרים ויציאנו יהוה ממצרים ביד חזקה;476;כתיב ואו חסר
(5, 7, 16);Leningrad Codex;71;ואכלת את כל העמים אשר יהוה אלהיך נתן לך לא תחס עינך עליהם ולא תעבד את אלהיהם כי מוקש הוא לך;551;כתיב ואו חסר
(5, 7, 16);Koren Codex;72;ואכלת את כל העמים אשר יהוה אלהיך נתן לך לא תחוס עינך עליהם ולא תעבד את אלהיהם כי מוקש הוא לך;548;כתיב ואו מלא
(5, 8, 2);Leningrad Codex;87;וזכרת את כל הדרך אשר הליכך יהוה אלהיך זה ארבעים שנה במדבר למען ענתך לנסתך לדעת את אשר בלבבך התשמר מצותו  אם לא;638;כתיב ואו חסר
(5, 8, 2);Koren Codex;88;וזכרת את כל הדרך אשר הוליכך יהוה אלהיך זה ארבעים שנה במדבר למען ענתך לנסתך לדעת את אשר בלבבך התשמר מצותו אם לא;636;כתיב ואו מלא
(5, 8, 3);Leningrad Codex;99;ויענך וירעבך ויאכלך את המן אשר לא ידעת ולא ידעון אבתיך למען הודעך כי לא על הלחם לבדו יחיה האדם כי על כל מוצא פי יהוה יחיה האדם;737;כתיב יוד חסר
(5, 8, 3);Koren Codex;100;ויענך וירעבך ויאכלך את המן אשר לא ידעת ולא ידעון אבתיך למען הודיעך כי לא על הלחם לבדו יחיה האדם כי על כל מוצא פי יהוה יחיה האדם;736;כתיב יוד מלא
(5, 8, 12);Leningrad Codex;30;פן תאכל ושבעת ובתים טובים תבנה וישבת;767;כתיב ואו מלא
(5, 8, 12);Koren Codex;29;פן תאכל ושבעת ובתים טבים תבנה וישבת;765;כתיב ואו חסר
(5, 9, 15);Leningrad Codex;43;ואפן וארד מן ההר וההר בער באש ושני לחת הברית על שתי ידי;810;כתיב ואו חסר
(5, 9, 15);Koren Codex;44;ואפן וארד מן ההר וההר בער באש ושני לוחת הברית על שתי ידי;809;כתיב ואו מלא
(5, 10, 11);Leningrad Codex;64;ויאמר יהוה אלי קום לך למסע לפני העם ויבאו וירשו את הארץ אשר נשבעתי לאבתם לתת להם;874;כתיב יוד חסר
(5, 10, 11);Koren Codex;65;ויאמר יהוה אלי קום לך למסע לפני העם ויבאו ויירשו את הארץ אשר נשבעתי לאבתם לתת להם;874;כתיב יוד מלא
(5, 12, 20);Leningrad Codex;78;כי ירחיב יהוה אלהיך את גבולך כאשר דבר לך ואמרת אכלה בשר כי תאוה נפשך לאכל בשר בכל אות נפשך תאכל בשר;952;כתיב ואו מלא
(5, 12, 20);Koren Codex;77;כי ירחיב יהוה אלהיך את גבלך כאשר דבר לך ואמרת אכלה בשר כי תאוה נפשך לאכל בשר בכל אות נפשך תאכל בשר;951;כתיב ואו חסר
(5, 18, 22);Leningrad Codex;81;אשר ידבר הנביא בשם יהוה ולא יהיה הדבר ולא יבוא הוא הדבר אשר לא דברו יהוה בזדון דברו הנביא לא תגור ממנו;1033;כתיב ואו מלא
(5, 18, 22);Koren Codex;80;אשר ידבר הנביא בשם יהוה ולא יהיה הדבר ולא יבא הוא הדבר אשר לא דברו יהוה בזדון דברו הנביא לא תגור ממנו;1031;כתיב ואו חסר
(5, 20, 1);Leningrad Codex;74;כי תצא למלחמה על איביך וראית סוס ורכב עם רב ממך לא תירא מהם כי יהוה אלהיך עמך המעלך מארץ מצרים;1107;כתיב יוד מלא
(5, 20, 1);Koren Codex;73;כי תצא למלחמה על איבך וראית סוס ורכב עם רב ממך לא תירא מהם כי יהוה אלהיך עמך המעלך מארץ מצרים;1104;כתיב יוד חסר
(5, 21, 15);Leningrad Codex;79;כי תהיין לאיש שתי נשים האחת אהובה והאחת שנואה וילדו לו בנים האהובה והשנואה והיה הבן הבכור לשניאה;1186;כתיב ואו מלא
(5, 21, 15);Koren Codex;78;כי תהיין לאיש שתי נשים האחת אהובה והאחת שנואה וילדו לו בנים האהובה והשנואה והיה הבן הבכר לשניאה;1182;כתיב ואו חסר
