Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(1, 4, 13);Leningrad Codex;26;ויאמר קין אל יהוה גדול עוני מנשא;26;כתיב ו חסר
(1, 4, 13);Koren Codex;27;ויאמר קין אל יהוה גדול עוני מנשוא;27;כתיב ו מלא
(1, 7, 11);Leningrad Codex;83;בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו;109;כתיב ו חסר
(1, 7, 11);Koren Codex;84;בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינות תהום רבה וארבת השמים נפתחו;111;כתיב ו מלא
(1, 8, 20);Leningrad Codex;57;ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהורה ומכל העוף הטהר ויעל עלת במזבח;166;יש שניים: כתיב ו מלא וכתיב ו חסר
(1, 8, 20);Koren Codex;57;ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהרה ומכל העוף הטהור ויעל עלת במזבח;168;יש שניים: כתיב ו חסר וכתיב ו מלא
(1, 9, 29);Leningrad Codex;35;ויהיו כל ימי נח תשע מאות שנה וחמשים שנה וימת;201;כתיב ו מלא
(1, 9, 29);Koren Codex;34;ויהי כל ימי נח תשע מאות שנה וחמשים שנה וימת;202;כתיב ו חסר
(1, 13, 8);Leningrad Codex;67;ויאמר אברם אל לוט אל נא תהי מריבה ביני וביניך ובין רעי ובין רעיך כי אנשים אחים אנחנו;268;כתיב י מלא
(1, 13, 8);Koren Codex;66;ויאמר אברם אל לוט אל נא תהי מריבה ביני ובינך ובין רעי ובין רעיך כי אנשים אחים אנחנו;268;כתיב י חסר
(1, 14, 22);Leningrad Codex;50;ויאמר אברם אל מלך סדם הרימתי ידי אל יהוה אל עליון קנה שמים וארץ;318;כתיב י מלא
(1, 14, 22);Koren Codex;49;ויאמר אברם אל מלך סדם הרמתי ידי אל יהוה אל עליון קנה שמים וארץ;317;כתיב י חסר
(1, 19, 16);Leningrad Codex;76;ויתמהמה ויחזקו האנשים בידו וביד אשתו וביד שתי בנתיו בחמלת יהוה עליו ויצאהו וינחהו מחוץ לעיר;394;כתיב י חסר
(1, 19, 16);Koren Codex;77;ויתמהמה ויחזיקו האנשים בידו וביד אשתו וביד שתי בנתיו בחמלת יהוה עליו ויצאהו וינחהו מחוץ לעיר;394;כתיב י מלא
(1, 19, 20);Leningrad Codex;60;הנה נא העיר הזאת קרבה לנוס שמה והיא מצער אמלטה נא שמה הלא מצער הוא ותחי נפשי;454;כתיב י במקום כתיב ו
(1, 19, 20);Koren Codex;60;הנה נא העיר הזאת קרבה לנוס שמה והוא מצער אמלטה נא שמה הלא מצער הוא ותחי נפשי;454;כתיב ו במקום כתיב י
(1, 25, 3);Leningrad Codex;47;ויקשן ילד את שבא ואת דדן ובני דדן היו אשורם ולטושים ולאמים;501;כתיב י מלא
(1, 25, 3);Koren Codex;46;ויקשן ילד את שבא ואת דדן ובני דדן היו אשורם ולטושם ולאמים;500;כתיב י חסר
(1, 26, 7);Leningrad Codex;81;וישאלו אנשי המקום לאשתו ויאמר אחתי הוא כי ירא לאמר אשתי פן יהרגני אנשי המקום על רבקה כי טובת מראה היא;582;כתיב י במקום כתיב ו
(1, 26, 7);Koren Codex;81;וישאלו אנשי המקום לאשתו ויאמר אחתי הוא כי ירא לאמר אשתי פן יהרגני אנשי המקום על רבקה כי טובת מראה הוא;581;כתיב ו במקום כתיב י
(1, 27, 31);Leningrad Codex;67;ויעש גם הוא מטעמים ויבא לאביו ויאמר לאביו יקם אבי ויאכל מציד בנו בעבור תברכני נפשך;649;כתיב ו מלא
(1, 27, 31);Koren Codex;66;ויעש גם הוא מטעמים ויבא לאביו ויאמר לאביו יקם אבי ויאכל מציד בנו בעבר תברכני נפשך;647;כתיב ו חסר
(1, 35, 5);Leningrad Codex;53;ויסעו ויהי חתת אלהים על הערים אשר סביבתיהם ולא רדפו אחרי בני יעקב;702;כתיב ו חסר
(1, 35, 5);Koren Codex;54;ויסעו ויהי חתת אלהים על הערים אשר סביבותיהם ולא רדפו אחרי בני יעקב;701;כתיב ו מלא
(1, 35, 23);Leningrad Codex;47;בני לאה בכור יעקב ראובן ושמעון ולוי ויהודה ויששכר וזבולן;749;יש שניים: כתיב ו מלא וכתיב ו חסר
(1, 35, 23);Koren Codex;47;בני לאה בכור יעקב ראובן ושמעון ולוי ויהודה ויששכר וזבלון;748;יש שניים: כתיב ו חסר וכתיב ו מלא
(1, 40, 10);Leningrad Codex;48;ובגפן שלשה שריגם והיא כפרחת עלתה נצה הבשילו אשכלתיה ענבים;797;כתיב י במקום כתיב ו
(1, 40, 10);Koren Codex;48;ובגפן שלשה שריגם והוא כפרחת עלתה נצה הבשילו אשכלתיה ענבים;796;כתיב ו במקום כתיב י
(1, 41, 35);Leningrad Codex;60;ויקבצו את כל אכל השנים הטבת הבאת האלה ויצברו בר תחת יד פרעה אכל בערים ושמרו;857;כתיב ו חסר
