Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(4, 3, 2);Leningrad Codex;41;ואלה שמות בני אהרן הבכור נדב ואביהוא אלעזר ואיתמר;41;כתיב ואו מלא
(4, 3, 2);Koren Codex;40;ואלה שמות בני אהרן הבכר נדב ואביהוא אלעזר ואיתמר;40;כתיב ואו חסר
(4, 3, 42);Leningrad Codex;38;ויפקד משה כאשר צוה יהוה אתו את כל בכר בבני ישראל;79;כתיב ואו חסר
(4, 3, 42);Koren Codex;39;ויפקד משה כאשר צוה יהוה אתו את כל בכור בבני ישראל;79;כתיב ואו מלא
(4, 3, 43);Leningrad Codex;69;ויהי כל בכור זכר במספר שמות מבן חדש ומעלה לפקדיהם שנים ועשרים אלף שלשה ושבעים ומאתים;148;כתיב ואו מלא
(4, 3, 43);Koren Codex;68;ויהי כל בכור זכר במספר שמת מבן חדש ומעלה לפקדיהם שנים ועשרים אלף שלשה ושבעים ומאתים;147;כתיב ואו חסר
(4, 7, 7);Leningrad Codex;42;את שתי העגלת ואת ארבעת הבקר נתן לבני גרשון כפי עבדתם;190;כתיב ואו חסר
(4, 7, 7);Koren Codex;43;את שתי העגלות ואת ארבעת הבקר נתן לבני גרשון כפי עבדתם;190;כתיב ואו מלא
(4, 7, 23);Leningrad Codex;68;ולזבח השלמים בקר שנים אילם חמשה עתודים חמשה כבשים בני שנה חמשה זה קרבן נתנאל בן צוער;258;כתיב ואו מלא
(4, 7, 23);Koren Codex;67;ולזבח השלמים בקר שנים אילם חמשה עתדים חמשה כבשים בני שנה חמשה זה קרבן נתנאל בן צוער;257;כתיב ואו חסר
(4, 9, 3);Leningrad Codex;66;בארבעה עשר יום בחדש הזה בין הערבים תעשו אתו במועדו ככל חקתיו וככל משפטיו תעשו אתו;324;כתיב ואו מלא
(4, 9, 3);Koren Codex;65;בארבעה עשר יום בחדש הזה בין הערבים תעשו אתו במעדו ככל חקתיו וככל משפטיו תעשו אתו;322;כתיב ואו חסר
(4, 9, 7);Leningrad Codex;80;ויאמרו האנשים ההמה אליו אנחנו טמאים לנפש אדם למה נגרע לבלתי הקרב את קרבן יהוה במעדו בתוך בני ישראל;404;כתיב יוד חסר
(4, 9, 7);Koren Codex;81;ויאמרו האנשים ההמה אליו אנחנו טמאים לנפש אדם למה נגרע לבלתי הקריב את קרבן יהוה במעדו בתוך בני ישראל;403;כתיב יוד מלא
(4, 9, 17);Leningrad Codex;71;ולפי העלת הענן מעל האהל ואחרי כן יסעו בני ישראל ובמקום אשר ישכן שם הענן שם יחנו בני ישראל;475;כתיב ואו חסר
(4, 9, 17);Koren Codex;72;ולפי העלות הענן מעל האהל ואחרי כן יסעו בני ישראל ובמקום אשר ישכן שם הענן שם יחנו בני ישראל;475;כתיב ואו מלא
(4, 10, 9);Leningrad Codex;79;וכי תבאו מלחמה בארצכם על הצר הצרר אתכם והרעתם בחצצרות ונזכרתם לפני יהוה אלהיכם ונושעתם מאיביכם;554;כתיב ואו מלא
(4, 10, 9);Koren Codex;78;וכי תבאו מלחמה בארצכם על הצר הצרר אתכם והרעתם בחצצרת ונזכרתם לפני יהוה אלהיכם ונושעתם מאיביכם;553;כתיב ואו חסר
(4, 10, 10);Leningrad Codex;101;וביום שמחתכם ובמועדיכם ובראשי חדשיכם ותקעתם בחצצרת על עלתיכם ועל זבחי שלמיכם והיו לכם לזכרון לפני אלהיכם אני יהוה אלהיכם;655;כתיב יוד מלא
(4, 10, 10);Koren Codex;100;וביום שמחתכם ובמועדיכם ובראשי חדשכם ותקעתם בחצצרת על עלתיכם ועל זבחי שלמיכם והיו לכם לזכרון לפני אלהיכם אני יהוה אלהיכם;653;כתיב יוד חסר
(4, 10, 16);Leningrad Codex;28;ועל צבא מטה בני זבולן אליאב בן חלון;683;כתיב ואו מלא
(4, 10, 16);Koren Codex;27;ועל צבא מטה בני זבולן אליאב בן חלן;680;כתיב ואו חסר
(4, 11, 26);Leningrad Codex;87;וישארו שני אנשים במחנה שם האחד אלדד ושם השני מידד ותנח עליהם הרוח והמה בכתבים ולא יצאו האהלה ויתנבאו במחנה;770;כתיב יוד מלא
(4, 11, 26);Koren Codex;86;וישארו שני אנשים במחנה שם האחד אלדד ושם השני מידד ותנח עלהם הרוח והמה בכתבים ולא יצאו האהלה ויתנבאו במחנה;766;כתיב יוד חסר
(4, 13, 26);Leningrad Codex;89;וילכו ויבאו אל משה ואל אהרן ואל כל עדת בני ישראל אל מדבר פארן קדשה וישיבו אותם דבר ואת כל העדה ויראום את פרי הארץ;859;כתיב ואו מלא
(4, 13, 26);Koren Codex;88;וילכו ויבאו אל משה ואל אהרן ואל כל עדת בני ישראל אל מדבר פארן קדשה וישיבו אתם דבר ואת כל העדה ויראום את פרי הארץ;854;כתיב ואו חסר
(4, 13, 29);Leningrad Codex;66;עמלק יושב בארץ הנגב והחתי והיבוסי והאמרי יושב בהר והכנעני ישב על הים ועל יד הירדן;925;כתיב ואו חסר
(4, 13, 29);Koren Codex;67;עמלק יושב בארץ הנגב והחתי והיבוסי והאמרי יושב בהר והכנעני יושב על הים ועל יד הירדן;921;כתיב ואו מלא
(4, 13, 32);Leningrad Codex;101;ויוציאו דבת הארץ אשר תרו אתה אל בני ישראל לאמר הארץ אשר עברנו בה לתור אתה ארץ אכלת יושביה הוא וכל העם אשר ראינו בתוכה אנשי מדות;1026;כתיב ואו מלא
