Book, Chapter, Verse;Hebrew Codex;Length of Verse;Hebrew Verse Text;Total Letters (Cumulative);Difference(s)
(2, 1, 16);Leningrad Codex;61;ויאמר בילדכן את העבריות וראיתן על האבנים אם בן הוא והמתן אתו ואם בת היא וחיה;61;כתיב יוד במקום כתיב ואו
(2, 1, 16);Koren Codex;61;ויאמר בילדכן את העבריות וראיתן על האבנים אם בן הוא והמתן אתו ואם בת הוא וחיה;61;כתיב ואו במקום כתיב יוד
(2, 4, 3);Leningrad Codex;48;ויאמר השליכהו ארצה וישליכהו ארצה ויהי לנחש וינס משה מפניו;109;כתיב יוד מלא
(2, 4, 3);Koren Codex;47;ויאמר השליכהו ארצה וישלכהו ארצה ויהי לנחש וינס משה מפניו;108;כתיב יוד חסר
(2, 6, 14);Leningrad Codex;62;אלה ראשי בית אבתם בני ראובן בכר ישראל חנוך ופלוא חצרון וכרמי אלה משפחת ראובן;171;כתיב ואו מלא
(2, 6, 14);Koren Codex;61;אלה ראשי בית אבתם בני ראובן בכר ישראל חנוך ופלוא חצרן וכרמי אלה משפחת ראובן;169;כתיב ואו חסר
(2, 8, 15);Leningrad Codex;63;ויאמרו החרטמים אל פרעה אצבע אלהים הוא ויחזק לב פרעה ולא שמע אלהם כאשר דבר יהוה;234;כתיב יוד מלא
(2, 8, 15);Koren Codex;62;ויאמרו החרטמם אל פרעה אצבע אלהים הוא ויחזק לב פרעה ולא שמע אלהם כאשר דבר יהוה;231;כתיב יוד חסר
(2, 10, 25);Leningrad Codex;48;ויאמר משה גם אתה תתן בידנו זבחים ועלות ועשינו ליהוה אלהינו;282;כתיב ואו מלא
(2, 10, 25);Koren Codex;47;ויאמר משה גם אתה תתן בידנו זבחים ועלת ועשינו ליהוה אלהינו;278;כתיב ואו חסר
(2, 12, 4);Leningrad Codex;68;ואם ימעט הבית מהית משה ולקח הוא ושכנו הקרב אל ביתו במכסת נפשת איש לפי אכלו תכסו על השה;350;כתיב ואו חסר
(2, 12, 4);Koren Codex;69;ואם ימעט הבית מהיות משה ולקח הוא ושכנו הקרב אל ביתו במכסת נפשת איש לפי אכלו תכסו על השה;347;כתיב ואו מלא
(2, 14, 13);Leningrad Codex;97;ויאמר משה אל העם אל תיראו התיצבו וראו את ישועת יהוה אשר יעשה לכם היום כי אשר ראיתם את מצרים היום לא תסיפו לראתם עוד עד עולם;447;כתיב יוד מלא
(2, 14, 13);Koren Codex;96;ויאמר משה אל העם אל תיראו התיצבו וראו את ישועת יהוה אשר יעשה לכם היום כי אשר ראיתם את מצרים היום לא תספו לראתם עוד עד עולם;443;כתיב יוד חסר
(2, 14, 14);Leningrad Codex;22;יהוה ילחם לכם ואתם תחרישון;469;כתיב יוד מלא
(2, 14, 14);Koren Codex;21;יהוה ילחם לכם ואתם תחרשון;464;כתיב יוד חסר
(2, 14, 22);Leningrad Codex;49;ויבאו בני ישראל בתוך הים ביבשה והמים להם חמה מימינם ומשמאלם;518;כתיב ואו חסר
(2, 14, 22);Koren Codex;50;ויבאו בני ישראל בתוך הים ביבשה והמים להם חומה מימינם ומשמאלם;514;כתיב ואו מלא
